ts,event_name,user_id,expected_in_matrix,observed,properties
2026-04-22T22:38:52.491Z,invite_page_viewed,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:14.701Z,invite_cta_clicked,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:44.867Z,grant_claimed,bot-01,true,true,"{""viewport"":""desktop"",""wallet"":""FdNpiuJJHFnKqoneSYRDeDheV2xGhkoiT5y1CcexPndC""}"
2026-04-22T22:39:56.714Z,feedback_opened,bot-01,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:38:53.826Z,invite_page_viewed,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:18.104Z,invite_cta_clicked,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:48.215Z,grant_claimed,bot-02,true,true,"{""viewport"":""desktop"",""wallet"":""4XVAEJgfF8anFbb4316JptqvYTkPXkaTT3ow2ixi27Zb""}"
2026-04-22T22:39:57.177Z,feedback_opened,bot-02,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:38:56.184Z,invite_page_viewed,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:39:21.908Z,invite_cta_clicked,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:39:52.207Z,grant_claimed,bot-03,true,true,"{""viewport"":""mobile"",""wallet"":""7JovE5N424z23ch5bPA28e7U95MsTvwmaUUZYaJcWCVU""}"
2026-04-22T22:40:01.281Z,feedback_opened,bot-03,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:38:57.787Z,invite_page_viewed,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:17.047Z,invite_cta_clicked,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:47.191Z,grant_claimed,bot-04,true,true,"{""viewport"":""desktop"",""wallet"":""Ayqjm1VsCWXd2KUdjYbEoWwppNKKaxaoYsptt3Unte3v""}"
2026-04-22T22:39:52.410Z,feedback_opened,bot-04,true,true,"{""viewport"":""desktop""}"
2026-04-22T22:39:00.633Z,invite_page_viewed,bot-05,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:39:26.062Z,terms_expanded,bot-05,true,true,"{""viewport"":""mobile""}"
2026-04-22T22:39:26.211Z,invite_cta_clicked,bot-05,true,true,"{""viewport"":""mobile""}"
